sexe,age,poids_kg,taille_cm,imc,imc_categorie,objectif,niveau,seances_semaine,type_programme,intensite,split_musculaire
homme,18,90,187,25.7,surpoids,perte_poids,avance,4,cardio_dominant,2,full_body
homme,51,109,188,30.8,obesite,endurance,debutant,3,cardio_dominant,2,full_body
homme,43,73,195,19.2,normal,perte_poids,intermediaire,3,HIIT,3,full_body
femme,31,88,156,36.2,obesite,perte_poids,intermediaire,5,cardio_dominant,2,full_body
femme,27,55,177,17.6,maigreur,prise_masse,debutant,5,musculation,2,ppl
femme,31,92,177,29.4,surpoids,tonification,avance,5,mixte,3,push_pull
homme,28,83,190,23.0,normal,tonification,debutant,4,mixte,2,haut_bas
homme,37,106,172,35.8,obesite,prise_masse,debutant,5,musculation,1,ppl
femme,59,70,166,25.4,surpoids,endurance,avance,5,cardio_dominant,3,full_body
homme,22,59,176,19.0,normal,endurance,debutant,4,cardio_dominant,2,full_body
femme,40,52,166,18.9,normal,tonification,avance,4,mixte,3,push_pull
femme,50,96,179,30.0,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
homme,62,70,180,21.6,normal,endurance,avance,5,cardio_dominant,4,full_body
femme,51,63,172,21.3,normal,endurance,intermediaire,3,cardio_dominant,3,full_body
femme,41,64,168,22.7,normal,prise_masse,avance,5,musculation,3,ppl
homme,44,114,180,35.2,obesite,tonification,avance,5,mixte,2,push_pull
femme,48,63,152,27.3,surpoids,prise_masse,avance,6,musculation,3,ppl
homme,17,73,172,24.7,normal,endurance,debutant,3,cardio_dominant,2,full_body
femme,52,85,163,32.0,obesite,perte_poids,intermediaire,3,cardio_dominant,3,full_body
femme,57,54,157,21.9,normal,tonification,intermediaire,5,mixte,3,haut_bas
homme,19,114,171,39.0,obesite,tonification,debutant,3,mixte,1,haut_bas
homme,64,95,189,26.6,surpoids,tonification,debutant,4,mixte,2,haut_bas
femme,46,100,173,33.4,obesite,tonification,debutant,4,mixte,2,haut_bas
homme,33,85,191,23.3,normal,endurance,avance,5,cardio_dominant,4,full_body
femme,50,65,160,25.4,surpoids,prise_masse,intermediaire,4,musculation,2,push_pull
homme,20,82,169,28.7,surpoids,tonification,avance,5,mixte,2,push_pull
femme,42,98,156,40.3,obesite,tonification,debutant,4,mixte,1,haut_bas
homme,35,100,160,39.1,obesite,tonification,intermediaire,4,mixte,1,haut_bas
femme,43,62,157,25.2,surpoids,prise_masse,intermediaire,5,musculation,2,ppl
femme,45,98,155,40.8,obesite,tonification,avance,4,mixte,2,push_pull
homme,57,65,161,25.1,surpoids,tonification,avance,5,mixte,2,push_pull
femme,36,69,158,27.6,surpoids,prise_masse,debutant,4,musculation,2,push_pull
femme,42,98,174,32.4,obesite,tonification,intermediaire,4,mixte,4,haut_bas
femme,38,48,167,17.2,maigreur,perte_poids,avance,4,HIIT,3,full_body
homme,55,57,172,19.3,normal,perte_poids,debutant,3,HIIT,2,full_body
femme,45,58,180,17.9,maigreur,perte_poids,avance,5,HIIT,4,full_body
homme,53,68,179,21.2,normal,perte_poids,debutant,3,HIIT,1,full_body
femme,53,49,156,20.1,normal,tonification,avance,4,mixte,3,push_pull
femme,38,47,175,15.3,maigreur,perte_poids,avance,5,HIIT,3,full_body
homme,22,117,186,33.8,obesite,endurance,debutant,4,cardio_dominant,1,full_body
femme,49,91,155,37.9,obesite,prise_masse,intermediaire,6,musculation,2,ppl
femme,53,91,176,29.4,surpoids,tonification,intermediaire,4,mixte,3,haut_bas
homme,64,86,188,24.3,normal,perte_poids,intermediaire,4,HIIT,3,full_body
femme,36,99,165,36.4,obesite,endurance,debutant,3,cardio_dominant,2,full_body
femme,60,83,158,33.2,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,51,117,186,33.8,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,30,63,152,27.3,surpoids,tonification,debutant,4,mixte,2,haut_bas
femme,38,78,167,28.0,surpoids,endurance,intermediaire,4,cardio_dominant,2,full_body
femme,35,62,164,23.1,normal,endurance,avance,5,cardio_dominant,4,full_body
homme,28,78,194,20.7,normal,endurance,debutant,3,cardio_dominant,3,full_body
femme,34,57,176,18.4,maigreur,endurance,debutant,3,cardio_dominant,2,full_body
femme,33,53,167,19.0,normal,perte_poids,avance,4,HIIT,2,full_body
femme,47,93,177,29.7,surpoids,prise_masse,avance,5,musculation,2,ppl
femme,27,66,164,24.5,normal,tonification,intermediaire,3,mixte,3,haut_bas
femme,20,76,162,29.0,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,64,80,153,34.2,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
homme,53,93,188,26.3,surpoids,tonification,intermediaire,4,mixte,2,haut_bas
homme,58,88,173,29.4,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
homme,44,107,160,41.8,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
homme,20,113,178,35.7,obesite,endurance,avance,4,cardio_dominant,3,full_body
homme,57,83,194,22.1,normal,tonification,debutant,3,mixte,1,haut_bas
homme,54,94,170,32.5,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,48,62,162,23.6,normal,endurance,avance,5,cardio_dominant,4,full_body
homme,17,87,180,26.9,surpoids,tonification,avance,4,mixte,2,push_pull
homme,46,77,162,29.3,surpoids,endurance,avance,5,cardio_dominant,3,full_body
homme,46,66,191,18.1,maigreur,tonification,avance,5,mixte,2,push_pull
femme,60,71,160,27.7,surpoids,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,32,65,152,28.1,surpoids,perte_poids,intermediaire,4,cardio_dominant,2,full_body
femme,45,79,177,25.2,surpoids,perte_poids,avance,5,cardio_dominant,2,full_body
femme,19,93,164,34.6,obesite,tonification,avance,4,mixte,3,push_pull
homme,17,70,191,19.2,normal,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,51,56,195,14.7,maigreur,prise_masse,intermediaire,5,musculation,2,ppl
homme,61,118,169,41.3,obesite,tonification,debutant,4,mixte,2,haut_bas
femme,45,60,165,22.0,normal,tonification,intermediaire,5,mixte,3,haut_bas
homme,37,108,177,34.5,obesite,prise_masse,debutant,5,musculation,3,ppl
femme,47,87,168,30.8,obesite,endurance,avance,4,cardio_dominant,4,full_body
femme,50,93,167,33.3,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,40,81,157,32.9,obesite,prise_masse,avance,5,musculation,2,ppl
femme,61,75,173,25.1,surpoids,perte_poids,intermediaire,4,cardio_dominant,2,full_body
homme,53,119,168,42.2,obesite,tonification,debutant,4,mixte,1,haut_bas
femme,16,74,179,23.1,normal,perte_poids,avance,4,HIIT,3,full_body
homme,55,98,176,31.6,obesite,perte_poids,intermediaire,5,cardio_dominant,2,full_body
homme,36,103,194,27.4,surpoids,endurance,avance,5,cardio_dominant,3,full_body
homme,63,84,178,26.5,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
homme,17,93,170,32.2,obesite,perte_poids,intermediaire,3,cardio_dominant,2,full_body
homme,25,110,183,32.8,obesite,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,55,103,165,37.8,obesite,prise_masse,debutant,4,musculation,2,push_pull
homme,32,113,176,36.5,obesite,prise_masse,intermediaire,6,musculation,2,ppl
femme,20,55,167,19.7,normal,endurance,avance,5,cardio_dominant,3,full_body
femme,35,74,158,29.6,surpoids,tonification,avance,4,mixte,2,push_pull
femme,38,81,162,30.9,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,16,62,162,23.6,normal,perte_poids,avance,4,HIIT,2,full_body
femme,38,96,169,33.6,obesite,endurance,debutant,3,cardio_dominant,2,full_body
femme,57,85,153,36.3,obesite,prise_masse,avance,5,musculation,3,ppl
femme,24,91,161,35.1,obesite,perte_poids,avance,4,cardio_dominant,1,full_body
femme,50,53,156,21.8,normal,tonification,debutant,4,mixte,2,haut_bas
femme,46,97,179,30.3,obesite,prise_masse,intermediaire,5,musculation,3,ppl
femme,25,49,180,15.1,maigreur,perte_poids,intermediaire,3,HIIT,2,full_body
femme,16,70,175,22.9,normal,endurance,debutant,4,cardio_dominant,2,full_body
femme,32,88,173,29.4,surpoids,endurance,avance,5,cardio_dominant,5,full_body
femme,17,75,157,30.4,obesite,perte_poids,avance,5,cardio_dominant,1,full_body
homme,57,93,189,26.0,surpoids,perte_poids,avance,5,cardio_dominant,2,full_body
homme,22,69,191,18.9,normal,perte_poids,intermediaire,3,HIIT,2,full_body
homme,53,108,183,32.2,obesite,tonification,intermediaire,5,mixte,3,haut_bas
femme,33,71,169,24.9,normal,perte_poids,intermediaire,3,HIIT,3,full_body
homme,22,101,175,33.0,obesite,tonification,intermediaire,5,mixte,2,haut_bas
femme,23,57,158,22.8,normal,perte_poids,intermediaire,4,HIIT,3,full_body
homme,24,86,181,26.3,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
homme,54,73,181,22.3,normal,prise_masse,debutant,4,musculation,2,push_pull
homme,23,77,176,24.9,normal,prise_masse,avance,5,musculation,3,ppl
femme,27,46,160,18.0,maigreur,prise_masse,avance,6,musculation,2,ppl
femme,44,75,152,32.5,obesite,perte_poids,avance,5,cardio_dominant,2,full_body
homme,62,60,174,19.8,normal,tonification,avance,5,mixte,2,push_pull
homme,59,109,185,31.8,obesite,perte_poids,intermediaire,3,cardio_dominant,2,full_body
femme,25,83,160,32.4,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,45,63,166,22.9,normal,tonification,avance,5,mixte,3,push_pull
homme,42,84,188,23.8,normal,prise_masse,intermediaire,5,musculation,3,ppl
femme,43,65,153,27.8,surpoids,tonification,avance,5,mixte,3,push_pull
femme,20,75,179,23.4,normal,prise_masse,avance,5,musculation,4,ppl
homme,51,71,183,21.2,normal,tonification,debutant,3,mixte,2,haut_bas
femme,58,100,161,38.6,obesite,perte_poids,intermediaire,4,cardio_dominant,1,full_body
homme,22,100,179,31.2,obesite,endurance,avance,4,cardio_dominant,4,full_body
femme,51,99,161,38.2,obesite,prise_masse,debutant,5,musculation,2,ppl
femme,65,80,177,25.5,surpoids,prise_masse,intermediaire,6,musculation,2,ppl
homme,60,89,171,30.4,obesite,endurance,debutant,4,cardio_dominant,1,full_body
femme,52,54,177,17.2,maigreur,perte_poids,debutant,4,HIIT,2,full_body
homme,40,82,193,22.0,normal,perte_poids,avance,5,HIIT,3,full_body
homme,19,65,180,20.1,normal,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,47,109,188,30.8,obesite,perte_poids,intermediaire,5,cardio_dominant,2,full_body
femme,43,67,153,28.6,surpoids,prise_masse,avance,5,musculation,3,ppl
femme,54,70,157,28.4,surpoids,endurance,debutant,3,cardio_dominant,2,full_body
femme,34,61,174,20.1,normal,prise_masse,debutant,5,musculation,2,ppl
femme,50,69,154,29.1,surpoids,tonification,debutant,3,mixte,2,haut_bas
femme,18,92,177,29.4,surpoids,perte_poids,intermediaire,4,cardio_dominant,2,full_body
homme,61,106,187,30.3,obesite,endurance,avance,5,cardio_dominant,4,full_body
femme,55,96,155,40.0,obesite,perte_poids,intermediaire,4,cardio_dominant,3,full_body
femme,31,51,177,16.3,maigreur,perte_poids,intermediaire,4,HIIT,3,full_body
homme,37,83,181,25.3,surpoids,tonification,intermediaire,3,mixte,2,haut_bas
homme,31,73,182,22.0,normal,prise_masse,intermediaire,4,musculation,2,push_pull
homme,27,64,169,22.4,normal,prise_masse,avance,6,musculation,3,ppl
femme,44,54,160,21.1,normal,endurance,avance,4,cardio_dominant,4,full_body
femme,48,67,151,29.4,surpoids,endurance,avance,4,cardio_dominant,4,full_body
femme,34,98,161,37.8,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
homme,44,60,195,15.8,maigreur,tonification,intermediaire,5,mixte,2,haut_bas
femme,44,48,154,20.2,normal,tonification,avance,4,mixte,4,push_pull
femme,18,56,170,19.4,normal,perte_poids,avance,4,HIIT,4,full_body
femme,40,63,161,24.3,normal,prise_masse,intermediaire,5,musculation,3,ppl
homme,51,67,181,20.5,normal,endurance,debutant,4,cardio_dominant,2,full_body
homme,35,99,169,34.7,obesite,endurance,debutant,4,cardio_dominant,2,full_body
homme,24,97,184,28.7,surpoids,endurance,avance,4,cardio_dominant,4,full_body
femme,27,64,161,24.7,normal,endurance,debutant,3,cardio_dominant,2,full_body
femme,20,54,154,22.8,normal,prise_masse,debutant,5,musculation,3,ppl
homme,54,71,181,21.7,normal,perte_poids,avance,5,HIIT,3,full_body
homme,42,60,188,17.0,maigreur,prise_masse,avance,6,musculation,2,ppl
homme,30,112,178,35.3,obesite,tonification,avance,4,mixte,2,push_pull
femme,44,81,171,27.7,surpoids,prise_masse,intermediaire,5,musculation,3,ppl
femme,54,57,176,18.4,maigreur,tonification,debutant,3,mixte,1,haut_bas
homme,61,68,195,17.9,maigreur,tonification,intermediaire,5,mixte,1,haut_bas
femme,48,73,158,29.2,surpoids,perte_poids,debutant,3,cardio_dominant,2,full_body
homme,42,58,182,17.5,maigreur,prise_masse,intermediaire,4,musculation,2,push_pull
femme,30,68,152,29.4,surpoids,prise_masse,intermediaire,4,musculation,2,push_pull
homme,34,59,168,20.9,normal,endurance,debutant,4,cardio_dominant,2,full_body
homme,17,65,160,25.4,surpoids,tonification,intermediaire,4,mixte,2,haut_bas
homme,35,85,178,26.8,surpoids,tonification,debutant,3,mixte,2,haut_bas
femme,47,98,153,41.9,obesite,tonification,debutant,3,mixte,2,haut_bas
homme,55,55,187,15.7,maigreur,prise_masse,intermediaire,5,musculation,2,ppl
femme,49,50,171,17.1,maigreur,prise_masse,avance,6,musculation,2,ppl
homme,39,104,162,39.6,obesite,tonification,intermediaire,4,mixte,3,haut_bas
femme,58,91,157,36.9,obesite,perte_poids,intermediaire,5,cardio_dominant,2,full_body
femme,37,79,161,30.5,obesite,prise_masse,debutant,4,musculation,3,push_pull
femme,24,96,155,40.0,obesite,tonification,avance,4,mixte,4,push_pull
femme,28,47,156,19.3,normal,perte_poids,intermediaire,3,HIIT,3,full_body
femme,18,61,165,22.4,normal,tonification,avance,4,mixte,3,push_pull
homme,43,102,167,36.6,obesite,endurance,intermediaire,4,cardio_dominant,4,full_body
femme,47,89,165,32.7,obesite,endurance,debutant,4,cardio_dominant,1,full_body
femme,43,50,163,18.8,normal,perte_poids,avance,4,HIIT,3,full_body
femme,34,87,160,34.0,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,44,67,164,24.9,normal,prise_masse,avance,5,musculation,4,ppl
femme,19,95,170,32.9,obesite,tonification,intermediaire,3,mixte,3,haut_bas
femme,59,92,175,30.0,obesite,endurance,avance,4,cardio_dominant,3,full_body
homme,31,63,168,22.3,normal,tonification,debutant,4,mixte,2,haut_bas
homme,39,102,188,28.9,surpoids,prise_masse,avance,6,musculation,4,ppl
homme,31,90,180,27.8,surpoids,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,32,70,184,20.7,normal,tonification,avance,5,mixte,3,push_pull
homme,23,80,191,21.9,normal,endurance,avance,4,cardio_dominant,3,full_body
femme,59,50,164,18.6,normal,prise_masse,avance,6,musculation,3,ppl
homme,39,77,170,26.6,surpoids,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,39,58,191,15.9,maigreur,prise_masse,debutant,5,musculation,2,ppl
homme,61,105,179,32.8,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,20,86,160,33.6,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,27,82,170,28.4,surpoids,prise_masse,avance,5,musculation,3,ppl
homme,26,93,169,32.6,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
homme,32,65,178,20.5,normal,endurance,avance,4,cardio_dominant,4,full_body
femme,50,84,159,33.2,obesite,prise_masse,avance,5,musculation,3,ppl
homme,17,60,181,18.3,maigreur,prise_masse,debutant,4,musculation,2,push_pull
femme,56,84,163,31.6,obesite,prise_masse,avance,5,musculation,3,ppl
femme,59,96,157,38.9,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,46,108,188,30.6,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
homme,41,99,180,30.6,obesite,endurance,avance,4,cardio_dominant,5,full_body
homme,33,70,189,19.6,normal,endurance,debutant,4,cardio_dominant,2,full_body
homme,31,108,184,31.9,obesite,perte_poids,intermediaire,3,cardio_dominant,3,full_body
femme,45,77,165,28.3,surpoids,prise_masse,debutant,5,musculation,1,ppl
femme,48,70,180,21.6,normal,perte_poids,debutant,4,HIIT,1,full_body
homme,47,91,163,34.3,obesite,endurance,debutant,4,cardio_dominant,2,full_body
homme,62,88,168,31.2,obesite,perte_poids,intermediaire,4,cardio_dominant,3,full_body
femme,51,81,151,35.5,obesite,perte_poids,intermediaire,3,cardio_dominant,2,full_body
femme,64,73,166,26.5,surpoids,perte_poids,intermediaire,5,cardio_dominant,2,full_body
homme,37,102,185,29.8,surpoids,prise_masse,debutant,5,musculation,3,ppl
homme,18,60,162,22.9,normal,tonification,avance,4,mixte,3,push_pull
femme,24,77,169,27.0,surpoids,tonification,debutant,4,mixte,1,haut_bas
femme,35,92,169,32.2,obesite,prise_masse,intermediaire,6,musculation,2,ppl
femme,39,46,176,14.9,maigreur,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,56,89,177,28.4,surpoids,endurance,avance,4,cardio_dominant,4,full_body
femme,46,82,151,36.0,obesite,prise_masse,avance,5,musculation,3,ppl
femme,52,47,157,19.1,normal,prise_masse,avance,5,musculation,3,ppl
femme,60,71,154,29.9,surpoids,endurance,intermediaire,3,cardio_dominant,3,full_body
femme,29,78,154,32.9,obesite,perte_poids,avance,5,cardio_dominant,1,full_body
femme,45,56,180,17.3,maigreur,tonification,intermediaire,5,mixte,3,haut_bas
femme,31,57,165,20.9,normal,endurance,avance,5,cardio_dominant,4,full_body
homme,36,117,173,39.1,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,50,88,168,31.2,obesite,endurance,debutant,4,cardio_dominant,1,full_body
femme,34,47,159,18.6,normal,endurance,debutant,3,cardio_dominant,2,full_body
femme,28,58,165,21.3,normal,endurance,avance,5,cardio_dominant,3,full_body
femme,53,92,169,32.2,obesite,prise_masse,debutant,4,musculation,2,push_pull
homme,37,107,166,38.8,obesite,prise_masse,debutant,5,musculation,2,ppl
homme,57,107,170,37.0,obesite,perte_poids,avance,5,cardio_dominant,2,full_body
homme,65,62,178,19.6,normal,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,18,77,186,22.3,normal,perte_poids,debutant,4,HIIT,3,full_body
homme,52,93,160,36.3,obesite,endurance,debutant,3,cardio_dominant,1,full_body
femme,49,79,170,27.3,surpoids,endurance,intermediaire,4,cardio_dominant,2,full_body
homme,37,69,172,23.3,normal,tonification,intermediaire,3,mixte,3,haut_bas
femme,34,66,173,22.1,normal,prise_masse,debutant,4,musculation,2,push_pull
femme,41,50,160,19.5,normal,tonification,avance,4,mixte,3,push_pull
homme,32,55,175,18.0,maigreur,tonification,intermediaire,4,mixte,2,haut_bas
femme,52,91,168,32.2,obesite,endurance,intermediaire,3,cardio_dominant,3,full_body
femme,45,52,171,17.8,maigreur,prise_masse,debutant,5,musculation,2,ppl
femme,39,63,179,19.7,normal,perte_poids,avance,4,HIIT,3,full_body
homme,42,102,189,28.6,surpoids,tonification,debutant,4,mixte,3,haut_bas
homme,49,112,165,41.1,obesite,prise_masse,avance,6,musculation,3,ppl
homme,52,80,192,21.7,normal,perte_poids,avance,4,HIIT,3,full_body
femme,53,90,156,37.0,obesite,perte_poids,avance,5,cardio_dominant,2,full_body
femme,42,77,154,32.5,obesite,perte_poids,intermediaire,4,cardio_dominant,2,full_body
femme,32,70,150,31.1,obesite,endurance,avance,4,cardio_dominant,5,full_body
homme,50,63,182,19.0,normal,perte_poids,intermediaire,3,HIIT,2,full_body
homme,27,107,178,33.8,obesite,tonification,debutant,3,mixte,3,haut_bas
femme,40,100,164,37.2,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,49,105,171,35.9,obesite,endurance,debutant,3,cardio_dominant,3,full_body
homme,59,114,179,35.6,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
homme,33,74,182,22.3,normal,prise_masse,intermediaire,4,musculation,1,push_pull
homme,31,57,186,16.5,maigreur,perte_poids,avance,4,HIIT,3,full_body
homme,63,86,163,32.4,obesite,tonification,avance,4,mixte,2,push_pull
homme,34,119,168,42.2,obesite,prise_masse,debutant,4,musculation,3,push_pull
femme,58,54,159,21.4,normal,endurance,debutant,3,cardio_dominant,2,full_body
femme,63,82,180,25.3,surpoids,perte_poids,avance,4,cardio_dominant,2,full_body
femme,58,86,161,33.2,obesite,tonification,debutant,4,mixte,3,haut_bas
femme,40,64,154,27.0,surpoids,tonification,intermediaire,3,mixte,4,haut_bas
femme,61,99,159,39.2,obesite,prise_masse,debutant,4,musculation,3,push_pull
homme,40,72,195,18.9,normal,tonification,intermediaire,3,mixte,2,haut_bas
femme,21,68,177,21.7,normal,perte_poids,intermediaire,5,HIIT,4,full_body
homme,20,60,184,17.7,maigreur,perte_poids,intermediaire,3,HIIT,4,full_body
homme,16,93,181,28.4,surpoids,tonification,debutant,3,mixte,1,haut_bas
homme,31,105,173,35.1,obesite,tonification,debutant,4,mixte,3,haut_bas
femme,35,67,170,23.2,normal,tonification,avance,5,mixte,3,push_pull
femme,46,91,175,29.7,surpoids,tonification,debutant,4,mixte,1,haut_bas
femme,30,81,151,35.5,obesite,endurance,intermediaire,5,cardio_dominant,3,full_body
femme,37,57,154,24.0,normal,tonification,intermediaire,3,mixte,3,haut_bas
homme,64,87,181,26.6,surpoids,tonification,avance,5,mixte,1,push_pull
femme,38,95,173,31.7,obesite,tonification,debutant,3,mixte,2,haut_bas
femme,49,48,170,16.6,maigreur,prise_masse,avance,5,musculation,3,ppl
homme,56,72,186,20.8,normal,perte_poids,debutant,3,HIIT,2,full_body
homme,39,113,192,30.7,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,51,79,150,35.1,obesite,tonification,debutant,4,mixte,2,haut_bas
femme,60,97,166,35.2,obesite,endurance,debutant,4,cardio_dominant,3,full_body
homme,31,74,193,19.9,normal,perte_poids,debutant,3,HIIT,2,full_body
femme,21,70,175,22.9,normal,endurance,intermediaire,4,cardio_dominant,2,full_body
femme,59,64,157,26.0,surpoids,prise_masse,avance,5,musculation,3,ppl
homme,51,103,184,30.4,obesite,perte_poids,intermediaire,4,cardio_dominant,2,full_body
homme,57,110,191,30.2,obesite,prise_masse,debutant,5,musculation,2,ppl
homme,33,115,173,38.4,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,36,99,179,30.9,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
homme,52,75,179,23.4,normal,tonification,debutant,3,mixte,2,haut_bas
femme,24,92,174,30.4,obesite,endurance,intermediaire,5,cardio_dominant,4,full_body
femme,20,59,163,22.2,normal,perte_poids,debutant,4,HIIT,2,full_body
femme,44,62,170,21.5,normal,endurance,debutant,4,cardio_dominant,2,full_body
femme,58,82,171,28.0,surpoids,tonification,debutant,4,mixte,2,haut_bas
femme,33,50,152,21.6,normal,prise_masse,avance,5,musculation,3,ppl
homme,21,68,183,20.3,normal,tonification,intermediaire,3,mixte,1,haut_bas
femme,21,53,153,22.6,normal,endurance,intermediaire,3,cardio_dominant,3,full_body
femme,51,67,152,29.0,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,40,71,159,28.1,surpoids,tonification,debutant,3,mixte,3,haut_bas
homme,24,76,184,22.4,normal,prise_masse,avance,6,musculation,3,ppl
femme,33,72,155,30.0,obesite,prise_masse,debutant,5,musculation,2,ppl
homme,54,118,175,38.5,obesite,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,37,105,160,41.0,obesite,prise_masse,intermediaire,6,musculation,2,ppl
femme,57,97,163,36.5,obesite,tonification,intermediaire,5,mixte,3,haut_bas
femme,41,56,160,21.9,normal,prise_masse,intermediaire,5,musculation,2,ppl
femme,41,62,162,23.6,normal,prise_masse,intermediaire,5,musculation,2,ppl
homme,62,58,195,15.3,maigreur,prise_masse,avance,6,musculation,1,ppl
homme,59,107,164,39.8,obesite,tonification,intermediaire,4,mixte,2,haut_bas
