payment_id,member_id,sub_id,amount,payment_date,month,method,status,plan_name
166,16,131,14.49,2025-11-14,2025-11,VIREMENT,PAID,Day Pass
167,16,131,15.29,2025-11-17,2025-11,VIREMENT,PAID,Day Pass
168,16,132,91.54,2025-11-22,2025-11,VIREMENT,PAID,CrossFit Elite
169,16,133,14.71,2025-12-20,2025-12,VIREMENT,PAID,Day Pass
170,16,134,50.34,2025-12-21,2025-12,CASH,PAID,Standard Premium
171,16,135,92.34,2026-01-24,2026-01,CARD,FAILED,CrossFit Elite
172,16,136,15.27,2026-02-28,2026-02,CASH,PAID,Day Pass
173,16,136,14.34,2026-02-25,2026-02,CASH,PAID,Day Pass
174,16,136,14.4,2026-02-25,2026-02,CASH,PAID,Day Pass
175,17,137,89.84,2025-04-18,2025-04,CARD,PAID,CrossFit Elite
176,17,138,49.44,2025-05-23,2025-05,CASH,PAID,Standard Premium
177,17,139,15.11,2025-06-24,2025-06,CASH,PAID,Day Pass
178,17,139,14.67,2025-06-24,2025-06,CASH,PAID,Day Pass
179,17,140,15.27,2025-06-28,2025-06,CASH,PENDING,Day Pass
180,17,141,15.4,2025-07-01,2025-07,CASH,PAID,Day Pass
181,17,142,86.75,2025-07-05,2025-07,CASH,PAID,CrossFit Elite
182,17,143,15.47,2025-08-04,2025-08,VIREMENT,PAID,Day Pass
183,17,143,14.44,2025-08-02,2025-08,VIREMENT,PAID,Day Pass
184,17,143,14.37,2025-08-05,2025-08,VIREMENT,PAID,Day Pass
185,17,144,47.75,2025-08-11,2025-08,CASH,PAID,Standard Premium
186,17,145,58.77,2025-09-09,2025-09,CARD,PENDING,Yoga Flow
187,17,146,14.78,2025-10-17,2025-10,VIREMENT,PAID,Day Pass
188,17,146,14.95,2025-10-15,2025-10,VIREMENT,PAID,Day Pass
189,17,147,91.62,2025-10-13,2025-10,CARD,FAILED,CrossFit Elite
190,17,148,48.41,2025-11-17,2025-11,VIREMENT,PAID,Standard Premium
191,17,148,49.73,2025-11-14,2025-11,VIREMENT,PAID,Standard Premium
192,17,148,46.91,2025-11-13,2025-11,VIREMENT,PAID,Standard Premium
193,17,148,49.67,2025-11-14,2025-11,VIREMENT,PAID,Standard Premium
194,17,148,51.06,2025-11-12,2025-11,VIREMENT,PAID,Standard Premium
195,18,149,46.69,2025-09-19,2025-09,CARD,PAID,Standard Premium
196,18,150,86.76,2025-10-22,2025-10,CASH,PAID,CrossFit Elite
197,18,151,47.55,2025-11-25,2025-11,CASH,PAID,Standard Premium
198,18,152,14.51,2025-12-26,2025-12,CARD,PENDING,Day Pass
199,18,153,47.35,2026-01-02,2026-01,CARD,PAID,Standard Premium
200,18,154,48.69,2026-02-03,2026-02,CARD,PAID,Standard Premium
201,18,155,58.21,2026-03-08,2026-03,VIREMENT,PAID,Yoga Flow
202,18,155,60.0,2026-03-08,2026-03,VIREMENT,PAID,Yoga Flow
203,19,156,47.14,2024-12-23,2024-12,CASH,PAID,Standard Premium
204,19,157,60.09,2025-01-25,2025-01,CASH,PAID,Yoga Flow
205,19,158,59.42,2025-02-27,2025-02,CARD,PAID,Yoga Flow
206,19,159,60.38,2025-03-29,2025-03,CASH,PAID,Yoga Flow
207,19,160,85.31,2025-04-30,2025-04,CASH,PAID,CrossFit Elite
208,19,161,48.16,2025-05-30,2025-05,CASH,PENDING,Standard Premium
209,19,162,91.44,2025-07-01,2025-07,CASH,PAID,CrossFit Elite
210,19,163,56.96,2025-08-05,2025-08,CARD,PAID,Yoga Flow
211,19,164,59.83,2025-09-08,2025-09,CASH,PAID,Yoga Flow
212,19,165,56.68,2025-10-09,2025-10,CARD,PAID,Yoga Flow
213,19,166,14.54,2025-11-06,2025-11,CASH,PAID,Day Pass
214,19,166,14.81,2025-11-07,2025-11,CASH,PAID,Day Pass
215,19,166,15.02,2025-11-07,2025-11,CASH,PAID,Day Pass
216,19,167,49.83,2025-11-14,2025-11,CASH,PAID,Standard Premium
217,19,168,49.71,2025-12-18,2025-12,CARD,PAID,Standard Premium
218,19,169,87.54,2026-01-17,2026-01,CASH,PAID,CrossFit Elite
219,19,170,50.83,2026-02-20,2026-02,VIREMENT,PAID,Standard Premium
220,19,171,85.33,2026-03-29,2026-03,CASH,PAID,CrossFit Elite
221,19,172,90.16,2026-04-28,2026-04,CASH,PENDING,CrossFit Elite
222,20,173,87.76,2026-01-26,2026-01,CASH,PAID,CrossFit Elite
223,20,174,48.3,2026-03-01,2026-03,CASH,PENDING,Standard Premium
224,20,175,48.87,2026-03-31,2026-03,CARD,PAID,Standard Premium
225,20,175,47.95,2026-04-01,2026-04,CARD,PAID,Standard Premium
226,21,176,86.9,2025-03-18,2025-03,CASH,PAID,CrossFit Elite
227,21,177,48.05,2025-04-22,2025-04,CASH,PAID,Standard Premium
228,21,178,46.79,2025-05-22,2025-05,CASH,PAID,Standard Premium
229,21,179,59.19,2025-06-22,2025-06,CASH,PAID,Yoga Flow
230,21,180,88.02,2025-07-28,2025-07,CASH,PENDING,CrossFit Elite
231,21,181,51.26,2025-08-29,2025-08,CASH,PAID,Standard Premium
232,21,182,91.73,2025-10-02,2025-10,CASH,PAID,CrossFit Elite
233,21,183,14.59,2025-10-31,2025-10,CASH,PAID,Day Pass
234,21,183,15.23,2025-11-01,2025-11,CASH,PAID,Day Pass
235,21,184,14.28,2025-11-03,2025-11,CARD,PAID,Day Pass
236,21,184,14.28,2025-10-29,2025-10,CARD,PAID,Day Pass
237,21,184,14.49,2025-10-31,2025-10,CARD,PAID,Day Pass
238,21,185,93.25,2025-11-02,2025-11,CASH,PAID,CrossFit Elite
239,21,186,14.39,2025-12-05,2025-12,CARD,PAID,Day Pass
240,21,186,15.5,2025-12-04,2025-12,CARD,PAID,Day Pass
241,21,187,50.54,2025-12-09,2025-12,CASH,PENDING,Standard Premium
242,21,188,60.43,2026-01-10,2026-01,CARD,PAID,Yoga Flow
243,22,189,49.31,2025-07-24,2025-07,CASH,PAID,Standard Premium
244,22,190,48.32,2025-08-24,2025-08,CASH,FAILED,Standard Premium
245,22,191,87.19,2025-09-24,2025-09,CASH,PAID,CrossFit Elite
246,22,192,50.34,2025-10-25,2025-10,CARD,PAID,Standard Premium
247,22,193,56.4,2025-11-28,2025-11,VIREMENT,PAID,Yoga Flow
248,22,194,93.26,2026-01-02,2026-01,CASH,PAID,CrossFit Elite
249,22,195,90.55,2026-02-04,2026-02,CASH,PAID,CrossFit Elite
250,22,196,89.28,2026-03-09,2026-03,CASH,PAID,CrossFit Elite
251,22,197,88.64,2026-04-09,2026-04,CASH,PENDING,CrossFit Elite
252,23,198,14.61,2025-09-03,2025-09,VIREMENT,PAID,Day Pass
253,23,198,15.0,2025-09-02,2025-09,VIREMENT,PAID,Day Pass
254,23,198,15.34,2025-09-04,2025-09,VIREMENT,PAID,Day Pass
255,23,199,57.86,2025-09-06,2025-09,VIREMENT,PENDING,Yoga Flow
256,23,200,48.29,2025-10-13,2025-10,CASH,PAID,Standard Premium
257,23,201,48.79,2025-11-11,2025-11,CASH,PAID,Standard Premium
258,23,202,86.09,2025-12-11,2025-12,CASH,PENDING,CrossFit Elite
259,23,203,15.31,2026-01-16,2026-01,CARD,PAID,Day Pass
260,23,203,15.54,2026-01-13,2026-01,CARD,PAID,Day Pass
261,23,204,47.07,2026-01-17,2026-01,CASH,PAID,Standard Premium
262,23,204,47.26,2026-01-17,2026-01,CASH,PAID,Standard Premium
263,23,204,46.67,2026-01-21,2026-01,CASH,PAID,Standard Premium
264,23,204,47.57,2026-01-17,2026-01,CASH,PAID,Standard Premium
265,24,205,88.78,2025-01-27,2025-01,CARD,PENDING,CrossFit Elite
266,24,206,51.05,2025-02-23,2025-02,CARD,PAID,Standard Premium
267,24,207,91.37,2025-03-31,2025-03,CASH,PAID,CrossFit Elite
268,24,208,47.91,2025-05-02,2025-05,CARD,FAILED,Standard Premium
269,24,209,58.21,2025-06-04,2025-06,VIREMENT,PAID,Yoga Flow
270,24,210,14.6,2025-07-07,2025-07,VIREMENT,PAID,Day Pass
271,24,211,51.28,2025-07-11,2025-07,CASH,FAILED,Standard Premium
272,24,212,56.85,2025-08-16,2025-08,CASH,PAID,Yoga Flow
273,24,213,14.49,2025-09-20,2025-09,CARD,PAID,Day Pass
274,24,213,14.69,2025-09-19,2025-09,CARD,PAID,Day Pass
275,24,214,48.3,2025-09-23,2025-09,CASH,PAID,Standard Premium
276,24,215,61.64,2025-10-26,2025-10,VIREMENT,FAILED,Yoga Flow
277,24,216,92.56,2025-11-26,2025-11,CASH,PAID,CrossFit Elite
278,24,217,47.89,2025-12-29,2025-12,VIREMENT,PAID,Standard Premium
279,24,218,57.93,2026-01-31,2026-01,CARD,PAID,Yoga Flow
280,24,218,60.49,2026-02-01,2026-02,CARD,PAID,Yoga Flow
281,24,218,58.75,2026-02-04,2026-02,CARD,FAILED,Yoga Flow
282,25,219,90.92,2026-03-06,2026-03,VIREMENT,PAID,CrossFit Elite
283,25,220,15.37,2026-04-06,2026-04,CASH,PAID,Day Pass
284,25,220,15.69,2026-04-03,2026-04,CASH,PAID,Day Pass
285,25,221,85.78,2026-04-06,2026-04,VIREMENT,PAID,CrossFit Elite
286,26,222,91.28,2025-10-24,2025-10,CARD,PAID,CrossFit Elite
287,26,223,50.93,2025-11-28,2025-11,CARD,PAID,Standard Premium
288,26,224,61.93,2026-01-05,2026-01,CARD,PAID,Yoga Flow
289,26,225,92.36,2026-02-05,2026-02,VIREMENT,PAID,CrossFit Elite
290,26,226,15.0,2026-03-08,2026-03,CASH,PAID,Day Pass
291,26,226,14.96,2026-03-08,2026-03,CASH,PENDING,Day Pass
292,26,226,14.78,2026-03-06,2026-03,CASH,FAILED,Day Pass
293,26,226,15.09,2026-03-06,2026-03,CASH,PAID,Day Pass
294,26,227,86.53,2026-03-12,2026-03,CARD,PAID,CrossFit Elite
295,27,228,51.39,2026-02-13,2026-02,CASH,PAID,Standard Premium
296,27,229,86.42,2026-03-13,2026-03,CARD,PAID,CrossFit Elite
297,27,230,50.71,2026-04-13,2026-04,CASH,PAID,Standard Premium
298,28,231,85.71,2025-06-30,2025-06,CASH,PAID,CrossFit Elite
299,28,232,50.91,2025-08-01,2025-08,CARD,FAILED,Standard Premium
300,28,233,91.15,2025-08-30,2025-08,CASH,PENDING,CrossFit Elite
301,28,234,61.32,2025-10-03,2025-10,CARD,PAID,Yoga Flow
302,28,235,88.59,2025-11-03,2025-11,CASH,PAID,CrossFit Elite
303,28,236,91.93,2025-12-06,2025-12,CARD,PAID,CrossFit Elite
304,28,237,47.28,2026-01-11,2026-01,CASH,PAID,Standard Premium
305,28,238,84.55,2026-02-10,2026-02,VIREMENT,PAID,CrossFit Elite
306,28,239,57.07,2026-03-09,2026-03,CARD,PAID,Yoga Flow
307,28,240,48.89,2026-04-15,2026-04,VIREMENT,PAID,Standard Premium
308,29,241,47.14,2025-09-27,2025-09,CASH,PENDING,Standard Premium
309,29,242,61.81,2025-11-02,2025-11,CASH,PAID,Yoga Flow
310,29,243,89.86,2025-12-04,2025-12,CARD,PAID,CrossFit Elite
311,29,244,89.63,2026-01-08,2026-01,CARD,PAID,CrossFit Elite
312,29,245,47.58,2026-02-04,2026-02,CASH,PAID,Standard Premium
313,29,246,50.99,2026-03-13,2026-03,CASH,PAID,Standard Premium
314,29,247,88.68,2026-04-17,2026-04,CASH,PAID,CrossFit Elite
315,30,248,48.32,2025-06-29,2025-06,VIREMENT,PAID,Standard Premium
316,30,249,47.37,2025-08-05,2025-08,CASH,PAID,Standard Premium
317,30,250,49.25,2025-09-03,2025-09,CASH,PAID,Standard Premium
318,30,251,15.58,2025-10-06,2025-10,CASH,PENDING,Day Pass
319,30,252,88.69,2025-10-09,2025-10,CASH,PENDING,CrossFit Elite
320,30,253,60.74,2025-11-08,2025-11,CARD,PAID,Yoga Flow
321,30,254,86.52,2025-12-12,2025-12,CARD,PAID,CrossFit Elite
322,30,255,15.19,2026-01-13,2026-01,CASH,PAID,Day Pass
323,30,256,87.66,2026-01-20,2026-01,CARD,PAID,CrossFit Elite
324,30,257,57.96,2026-02-24,2026-02,VIREMENT,PAID,Yoga Flow
325,30,258,15.11,2026-03-24,2026-03,CASH,PAID,Day Pass
326,30,258,14.31,2026-03-24,2026-03,CASH,PAID,Day Pass
327,30,258,14.91,2026-03-28,2026-03,CASH,PAID,Day Pass
328,31,259,59.72,2025-07-04,2025-07,CARD,PAID,Yoga Flow
329,31,260,48.73,2025-08-09,2025-08,CARD,PAID,Standard Premium
330,31,261,48.21,2025-09-11,2025-09,CASH,PAID,Standard Premium
331,31,262,87.11,2025-10-11,2025-10,CARD,PENDING,CrossFit Elite
332,31,263,57.87,2025-11-15,2025-11,CASH,PAID,Yoga Flow
333,31,264,47.87,2025-12-12,2025-12,CARD,PAID,Standard Premium
334,31,265,84.96,2026-01-18,2026-01,VIREMENT,PAID,CrossFit Elite
335,31,266,14.98,2026-02-20,2026-02,CASH,PAID,Day Pass
336,31,266,14.54,2026-02-20,2026-02,CASH,PAID,Day Pass
337,31,266,14.55,2026-02-19,2026-02,CASH,PAID,Day Pass
338,31,267,56.68,2026-02-24,2026-02,VIREMENT,PENDING,Yoga Flow
339,31,268,87.91,2026-03-30,2026-03,CARD,PAID,CrossFit Elite
340,32,269,88.48,2024-12-20,2024-12,CASH,FAILED,CrossFit Elite
341,32,270,50.85,2025-01-22,2025-01,CASH,PAID,Standard Premium
342,32,271,50.16,2025-02-19,2025-02,CARD,PAID,Standard Premium
343,32,272,51.19,2025-03-26,2025-03,VIREMENT,PENDING,Standard Premium
344,32,273,47.88,2025-04-26,2025-04,VIREMENT,PAID,Standard Premium
345,32,274,56.56,2025-05-23,2025-05,CARD,FAILED,Yoga Flow
346,32,275,61.58,2025-06-29,2025-06,VIREMENT,PAID,Yoga Flow
347,32,276,93.26,2025-08-02,2025-08,CASH,PAID,CrossFit Elite
348,32,277,89.04,2025-08-31,2025-08,CARD,PENDING,CrossFit Elite
349,32,278,89.7,2025-10-07,2025-10,CARD,PAID,CrossFit Elite
350,32,279,48.1,2025-11-11,2025-11,CASH,PAID,Standard Premium
351,32,280,85.2,2025-12-12,2025-12,CASH,PAID,CrossFit Elite
352,32,281,47.59,2026-01-13,2026-01,CARD,PAID,Standard Premium
353,32,282,47.85,2026-02-14,2026-02,CARD,PAID,Standard Premium
354,32,283,15.73,2026-03-21,2026-03,CARD,FAILED,Day Pass
355,32,283,14.66,2026-03-22,2026-03,CARD,PAID,Day Pass
356,33,284,88.84,2025-12-20,2025-12,CASH,PAID,CrossFit Elite
357,33,285,87.62,2026-01-26,2026-01,CASH,PAID,CrossFit Elite
358,33,286,87.87,2026-03-02,2026-03,VIREMENT,PAID,CrossFit Elite
359,33,286,88.4,2026-03-02,2026-03,VIREMENT,PAID,CrossFit Elite
360,34,287,85.79,2025-12-06,2025-12,VIREMENT,PENDING,CrossFit Elite
361,34,288,50.34,2026-01-01,2026-01,CARD,PAID,Standard Premium
362,34,289,92.99,2026-02-03,2026-02,CASH,PAID,CrossFit Elite
363,34,290,15.7,2026-03-11,2026-03,CARD,FAILED,Day Pass
364,34,290,14.8,2026-03-11,2026-03,CARD,PAID,Day Pass
365,34,291,61.89,2026-03-14,2026-03,CARD,FAILED,Yoga Flow
