complaint_id,member_id,subject,description,created_date,status,priority,resolved_date
38,585,Manque de matériel,Six voie ferme suivre mourir user garder peuple toit difficile cheveu chiffre ouvert creuser rien fine.,2025-11-22,RESOLVED,LOW,2025-11-28
39,902,Vestiaires sales,Importer contenir quart particulier désormais retomber cinq résister livre ensuite commander joie homme doucement être.,2025-12-03,RESOLVED,MEDIUM,2025-12-16
40,60,Manque de matériel,Assez sourd ensemble sou résister fuir promettre robe.,2025-12-23,OPEN,HIGH,
41,329,Horaires non respectés,Poursuivre froid million chef obéir exiger fait feu mari compter croix pur sûr queue bon.,2026-02-20,RESOLVED,LOW,2026-02-27
42,97,Cours annulé sans prévenir,Éloigner pour léger nouveau remplir cruel rendre préparer dehors robe aucun.,2026-03-25,RESOLVED,MEDIUM,2026-04-08
43,313,Horaires non respectés,Succès recevoir tantôt honte face je beaucoup souvent.,2026-01-13,RESOLVED,MEDIUM,2026-01-20
44,975,Problème de facturation,Cerveau résultat importer cas appartement inconnu lisser réclamer politique.,2025-11-04,PENDING,LOW,
45,300,Problème de facturation,Disparaître livrer dégager rang moyen chaise poser attacher sommet rare immobile cacher y enfermer selon fête.,2025-11-28,RESOLVED,LOW,2025-12-02
46,278,Musique trop forte,Inquiéter craindre visage avant etc porte bien passé davantage parcourir.,2025-11-09,PENDING,LOW,
47,925,Coach absent,Droit petit immense masse révéler dent avance nombre.,2025-11-04,OPEN,LOW,
48,602,Problème de facturation,Fond aucun droit essuyer yeux résistance silencieux divers consulter appartenir sac fou arriver.,2025-11-16,OPEN,LOW,
49,440,Horaires non respectés,Meilleur chaise public parmi vaincre regarder rôle mari mois pourtant yeux.,2025-11-11,RESOLVED,LOW,2025-11-16
50,838,Coach absent,Lumière sueur principe vague chance quinze faux déchirer.,2026-02-21,RESOLVED,LOW,2026-02-24
51,571,Vestiaires sales,Naturellement voiture emporter toit quelque calme essuyer bas passé expliquer couler.,2026-02-26,PENDING,MEDIUM,
52,880,Musique trop forte,Rapidement violent marier côté comprendre remplacer façon.,2026-03-21,RESOLVED,LOW,2026-03-29
53,262,Horaires non respectés,De jouer voler respect aucun lire premier demander employer pierre propos supposer musique.,2025-12-30,OPEN,MEDIUM,
54,579,Musique trop forte,Carte sourire causer expression visage ainsi flamme rompre préférer éloigner commun présent calme esprit tromper contenir.,2026-04-03,OPEN,LOW,
55,24,Horaires non respectés,Quant À frère visite ventre trouver changer lequel produire presque rendre peuple creuser quitter.,2025-12-29,PENDING,MEDIUM,
56,31,Climatisation défaillante,Trouver personne sac partager bas perdu tempête fête sec.,2025-11-13,OPEN,MEDIUM,
57,618,Cours annulé sans prévenir,Expérience partager règle succès genou mieux jeu page fin tard monter papa.,2025-12-13,OPEN,LOW,
58,11,Problème de facturation,Voie traiter dent intéresser désigner discuter pensée cause bruit puis.,2025-11-09,RESOLVED,MEDIUM,2025-11-19
59,222,Vestiaires sales,Promener tête glisser été chaise haïr repousser lever agent livrer sueur occasion.,2026-01-10,RESOLVED,LOW,2026-01-23
60,821,Équipement défectueux,Divers courir vie aller soudain veiller respirer.,2025-12-25,OPEN,MEDIUM,
61,297,Climatisation défaillante,Couler selon colon apparaître seulement trois prouver auprès reste.,2026-04-25,OPEN,HIGH,
62,55,Vestiaires sales,Ruine autrefois ouvrir bon énergie million que.,2026-03-20,RESOLVED,LOW,2026-03-21
63,543,Horaires non respectés,Joie perte construire descendre seconde bête révolution briser absolu compter danser peau problème surveiller quinze.,2025-11-21,RESOLVED,MEDIUM,2025-11-30
64,210,Musique trop forte,Promettre fatigue mur sauver atteindre votre retomber désert désirer donc sauter résistance vite ton.,2026-03-02,RESOLVED,LOW,2026-03-12
65,605,Manque de matériel,Marcher marché ventre intelligence étrange poser prévoir gauche dos.,2026-01-23,PENDING,HIGH,
66,693,Vestiaires sales,Chasser branche partager poids grâce sentiment rose hiver attacher animal plein emporter.,2025-11-19,RESOLVED,MEDIUM,2025-11-20
67,663,Musique trop forte,Abattre poste rompre meilleur matière double croiser.,2025-12-20,RESOLVED,LOW,2025-12-22
68,867,Autre,Suivre morceau assister brûler davantage poser trembler forêt debout plaisir considérer tout personne être.,2026-03-23,RESOLVED,LOW,2026-03-25
69,71,Horaires non respectés,Former hors admettre immobile si durer recommencer digne éviter.,2026-03-16,PENDING,MEDIUM,
70,544,Autre,Fond type goutte environ tuer petit effet immobile attacher souffrir extraordinaire détruire soleil pensée.,2026-02-10,OPEN,MEDIUM,
71,108,Climatisation défaillante,Gauche choix espace pourquoi tard choix loup ramasser remettre pendre inquiéter rien avance.,2026-03-24,PENDING,LOW,
72,494,Vestiaires sales,Homme non asseoir autour jouer saison vraiment exprimer valeur vérité briser remplir demande revoir mériter violence.,2026-01-09,RESOLVED,MEDIUM,2026-01-10
73,591,Coach absent,Nation dehors acte pouvoir table parmi cause décider agir derrière étoile craindre ciel page ramener.,2026-01-08,PENDING,MEDIUM,
74,742,Musique trop forte,Aucun subir note exécuter monsieur même visage déchirer suite heure.,2026-01-20,RESOLVED,MEDIUM,2026-01-29
75,293,Vestiaires sales,Protéger sept silence droite montrer cela prononcer état médecin crainte.,2025-12-24,RESOLVED,LOW,2025-12-30
76,290,Problème de facturation,Plaindre expliquer là vers angoisse professeur intérieur manquer madame six énorme plein semblable mouvement.,2026-01-05,OPEN,LOW,
77,653,Horaires non respectés,Maintenir ce rêver devant couler étonner ensuite mauvais endormir mort bruit quatre village.,2026-04-04,PENDING,LOW,
78,40,Vestiaires sales,Observer chaud alors montagne dent lit feu usage drôle ville nombreux force bout puis.,2025-11-10,OPEN,MEDIUM,
79,590,Équipement défectueux,Milieu avoir connaître nombre nul tenter personne soir mot ou fatigue.,2025-12-17,PENDING,MEDIUM,
80,308,Cours annulé sans prévenir,Genre remplir médecin livrer non réduire renoncer ombre mot peser tandis que.,2026-04-17,OPEN,LOW,
